[2025-03-24 14:01:04,032: INFO: main: logging is implemented]
[2025-03-24 14:01:15,257: INFO: main: logging is implemented]
[2025-03-24 14:01:19,208: INFO: main: logging is implemented]
[2025-03-24 15:51:27,592: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:51:27,598: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:52:22,780: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:52:49,467: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:52:49,481: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:53:21,167: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:53:21,172: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:54:12,085: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:54:12,089: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:55:18,370: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:55:18,372: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:56:38,467: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:56:38,469: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:58:34,053: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 15:58:34,065: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 15:58:34,089: INFO: common: created directory at: artifacts]
[2025-03-24 15:58:34,090: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-24 15:58:36,119: INFO: 227420655: File is downloaded]
[2025-03-24 16:12:44,993: INFO: main: Initiating Data Ingestion Stage]
[2025-03-24 16:12:44,994: INFO: stage_1_data_ingestion_pipeline: Initiating data ingestion]
[2025-03-24 16:12:44,996: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 16:12:44,997: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 16:12:44,998: INFO: common: created directory at: artifacts]
[2025-03-24 16:12:44,999: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-24 16:12:47,024: INFO: data_ingestion: File is downloaded]
[2025-03-24 16:12:47,230: INFO: stage_1_data_ingestion_pipeline: Data ingestion is completed]
[2025-03-24 16:12:47,231: INFO: main: Data Ingestion Stage is completed]
